feature,importance
time_gap_seq6_min,2244
type6_rate,1829
time_gap_seq5_min,1784
action_time_gap_std,1651
time_gap_seq5_std,1624
type1_rate,1613
type5_rate,1512
time_gap_last123_std,1361
time_gap_first1,1352
time_gap_seq6_mean,1282
action_time_gap_mean,1167
time_gap1,1117
time_gap_seq5_mean,1116
time_gap_seq7_min,1092
time_gap_seq6_max,1024
action_time_gap_min,889
time_gap_seq6_std,888
time_gap_last4,866
time_gap_seq5_max,841
time_gap6,815
province,768
dist5,741
if_order,718
time_gap_seq2_mean,717
type4_rate,673
time_gap_seq7_mean,644
act_type_last3,641
time_gap7,633
type2_rate,610
time_gap4,541
time_gap_seq3_mean,515
type7_rate,511
time_gap2,472
time_gap_last3,445
time_gap_seq7_max,440
time_gap5,437
type8_rate,427
time_gap_seq8_mean,412
time_gap_last2,405
time_gap_seq4_min,389
time_gap_seq8_std,364
time_gap_seq2_min,363
type3_rate,363
act_type_last1,360
dist8,359
act_type_last2,356
time_gap8,351
dist3,295
type9_rate,282
time_gap9,282
time_gap_seq8_min,281
time_gap3,271
time_gap_seq3_min,259
time_gap_last1,242
time_gap_seq7_std,223
time_gap_last123_mean,206
dist9,200
age,192
time_gap_seq9_mean,181
time_gap_seq9_std,167
act_type_first1,159
time_gap_seq9_mean*std,145
